"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
5075,701959,473125,6540.836,35.000,"","","","",8.771,200981.953,13237.097,35040.965,253.801,284703.906,64257.930,748.762,504.800
2806,243931,829369,3419.006,5.000,"","","","",5.621,154767.734,257.207,14089.905,33.129,277272.906,24856.510,384.570,118.131
10482,854634,-417483,2855.544,1434.000,299.000,"","",789.641,5.668,165701.422,42538.785,13795.148,5060.314,281253.438,60006.586,839.700,312.116
2804,193040,829369,3926.728,"","","","","",1.345,118991.523,173.859,12551.486,15.305,281254.000,13654.112,378.394,57.903
10098,1032756,-341146,7874.194,940.000,147.000,"","",1610.296,7.033,48910.680,2999.794,15731.208,3293.997,282936.938,79977.750,1149.956,762.599
5055,193040,473125,7189.698,"","","","","",12.418,203176.312,10692.691,96538.344,3206.581,280361.562,21850.109,675.947,265.477
12079,65810,-824619,1008.991,"","","","",466.203,0.044,21507.963,1724.489,4128.281,1448.993,271146.438,42557.984,863.805,431.505
9981,-1944421,-341146,27.499,"","","","","",0.051,92176.953,970.327,1395.650,15.481,276095.281,15922.763,550.451,127.310
9268,-1944421,-213916,72.090,"","","","","",0.150,15161.253,969.846,1258.081,17.975,284426.062,17544.203,673.558,117.208
5747,1109094,371341,13755.057,6288.000,"","","","",138.608,112123.398,1051.740,17673.086,388.340,288496.656,67562.547,663.546,286.161
6060,829189,320449,11180.319,1703.000,"","","","",171.931,106605.586,3433.348,16673.906,419.871,287320.250,38418.219,719.054,194.885
6912,-2071651,167774,92.659,"","","","","",0.060,161285.031,9366.038,3143.122,19.692,294290.188,18933.395,687.374,154.568
4422,651067,574909,9785.983,36.000,"","","","",5.416,105894.250,217.988,29260.014,253.831,296334.719,16402.277,403.539,138.218
2584,-1613624,854815,1.789,"","","","","",0.004,101948.719,321.919,6113.531,35.249,288676.312,5350.395,999.744,71.296
4140,1847027,625801,36557.641,17755.000,2.000,12692.000,496.000,"",793.623,263278.656,19283.887,101569.609,2662.789,295219.250,25763.246,810.113,877.050
4273,1007310,600355,15811.222,634.000,"","","","",282.518,198347.094,16663.061,26537.814,721.611,295185.719,48479.910,411.357,283.084
5614,-2275219,371341,945.159,"","","","","",6.232,246383.219,32459.838,6919.320,37.143,294230.188,32575.582,543.522,303.896
5746,1083648,371341,12367.882,4634.000,"","","","",147.276,97580.172,1033.281,15157.340,387.380,282583.250,14273.553,618.794,69.914
6752,-2071651,193220,92.659,"","","","","",0.060,112767.609,992.441,2535.951,16.004,295596.188,16852.182,700.890,137.800
9119,-1969867,-188470,192.664,"","","","","",1.369,59170.512,889.511,6097.625,24.074,295925.312,16630.391,685.175,114.573
6092,1643459,320449,12598.613,10195.000,5192.000,9577.000,4827.000,5781.542,1300.996,167089.359,36384.062,19819.354,6609.892,303625.750,226033.375,610.528,552.523
6999,142148,167774,9383.068,347.000,24.000,"","",1935.525,32.330,187493.203,742.352,20114.779,1168.517,306359.219,41433.520,630.824,241.512
12529,1414446,-1104524,3.466,11.000,1.000,"","",0.685,0.171,29300.734,3382.997,356.914,53.135,297776.250,34190.480,1424.681,523.149
6263,-2249773,269558,2239.997,"","","","","",15.848,168591.656,1027.090,15663.716,49.292,302760.625,10397.412,826.427,164.776
5095,1210878,473125,20070.930,8544.000,"","","","",64.020,284223.094,14809.172,79233.445,451.070,309270.688,27820.256,559.018,241.468
6838,116702,193220,8356.557,232.000,36.000,"","",1591.445,37.755,262179.625,34769.684,95938.570,10255.400,306622.219,56666.883,633.943,296.481
12553,1567121,-1129970,4.497,12.000,1.000,"","",0.108,0.054,15221.193,67.216,361.731,140.066,302147.438,45194.523,1153.176,362.451
2703,1999703,854815,53342.652,13937.000,1.000,12931.000,7.000,"",38.259,219016.719,1410.344,87867.195,330.045,311397.844,13690.039,957.394,140.097
3147,1465338,778477,19152.924,14859.000,"",51.000,"","",57.243,306905.562,23849.078,23743.742,125.615,316896.344,67307.234,861.447,763.096
5281,1745243,447679,19890.172,10432.000,2.000,5347.000,55.000,"",989.311,330187.594,48622.812,47656.797,4139.729,316232.500,62764.031,1128.289,760.825
8322,1439892,-35794,7624.696,7123.000,986.000,2775.000,234.000,1378.118,263.458,181172.594,43689.559,32851.355,9385.866,308177.844,119690.039,858.214,616.308
4788,1821581,524017,20368.410,7161.000,60.000,4259.000,395.000,0.046,1360.911,193044.406,13759.299,50983.047,4076.629,317247.438,19892.217,621.459,218.441
12220,91256,-875511,458.017,"","","","",109.169,0.104,135551.594,3191.625,3932.430,742.071,307187.281,20026.004,1022.203,196.962
9485,-137758,-239362,"","","","","","","",201273.609,3674.178,7782.392,525.045,311657.812,32396.396,1057.412,119.298
9266,-1995313,-213916,127.061,"","","","","",0.975,94739.562,240.361,4417.077,12.442,311450.844,4976.237,657.411,42.611
9393,1236324,-213916,6896.168,5199.000,1572.000,2214.000,214.000,2227.738,64.916,174516.969,34583.613,32878.918,11174.281,311585.062,69483.969,1266.442,745.672
